Flight_Number,Date,Origin,Destination,Aircraft_Type,Passengers,Delay_Minutes,Delay_Reason,Cancelled
DL1107,2026-02-09,ATL,LAX,A350,193,0,None,N
DL1108,2026-02-19,ATL,LAX,B757,207,0,None,N
DL1109,2026-02-05,ATL,LAX,A350,211,0,None,N
DL1110,2026-02-23,ATL,LAX,A321,264,0,None,N
DL1111,2026-02-01,ATL,LAX,A321,314,0,None,N
DL1112,2026-02-13,ATL,LAX,B757,170,60,Air Traffic Control,N
DL1113,2026-02-01,ATL,LAX,A350,241,0,None,N
DL1114,2026-02-07,ATL,LAX,B757,214,0,None,N
DL1115,2026-02-12,ATL,LAX,A350,290,0,None,N
DL1116,2026-02-14,ATL,ORD,A350,211,0,None,N
DL1117,2026-02-02,ATL,ORD,A321,208,25,Weather,N
DL1118,2026-02-17,ATL,ORD,A350,249,0,None,N
DL1119,2026-02-26,ATL,ORD,A220,281,0,None,N
DL1120,2026-02-07,ATL,ORD,B757,175,75,Air Traffic Control,N
DL1121,2026-02-16,ATL,ORD,B767,172,0,None,N
DL1122,2026-02-16,ATL,ORD,B757,307,45,Mechanical,N
DL1123,2026-02-13,ATL,ORD,B767,170,120,Mechanical,N
DL1124,2026-02-21,ATL,ORD,B757,255,90,Mechanical,N
DL1125,2026-02-25,ATL,ORD,B757,184,35,Weather,N
DL1126,2026-03-03,ATL,LHR,B767,285,0,None,N
DL1127,2026-03-01,ATL,LHR,A220,245,0,None,N
DL1128,2026-03-07,ATL,LHR,A321,155,0,None,N
DL1129,2026-03-09,ATL,LHR,A220,315,0,None,N
DL1130,2026-03-17,ATL,LHR,A350,195,0,None,N
DL1131,2026-03-09,ATL,LHR,A321,305,0,None,N
DL1132,2026-03-14,ATL,LHR,B767,145,0,None,N
DL1133,2026-03-02,ATL,LHR,A220,261,0,None,N
DL1134,2026-03-16,ATL,LHR,A220,240,0,Cancelled,Y
DL1135,2026-03-15,ATL,LHR,A220,178,20,Weather,N
DL1136,2026-03-22,ATL,LHR,A321,319,0,None,N
DL1137,2026-03-03,ATL,LHR,B757,149,25,Weather,N
DL1138,2026-03-21,ATL,CDG,A350,318,0,None,N
DL1139,2026-03-04,ATL,CDG,B767,289,0,None,N
DL1140,2026-03-13,ATL,CDG,A350,140,0,None,N
DL1141,2026-03-18,ATL,CDG,B767,220,0,None,N
DL1142,2026-03-16,ATL,CDG,A321,147,0,None,N
DL1143,2026-03-23,ATL,CDG,A321,312,35,Air Traffic Control,N
DL1144,2026-03-03,ATL,CDG,B767,234,0,None,N
DL1145,2026-03-16,ATL,CDG,B757,247,0,None,N
DL1146,2026-03-22,ATL,CDG,A350,269,45,Mechanical,N
DL1147,2026-03-16,ATL,NRT,B757,196,35,Weather,N
DL1148,2026-03-25,ATL,NRT,A321,197,90,Mechanical,N
DL1149,2026-03-14,ATL,NRT,B767,153,25,Late Inbound Aircraft,N
DL1150,2026-03-01,ATL,NRT,A321,187,15,Mechanical,N
DL1151,2026-03-15,ATL,NRT,A350,168,0,None,N
DL1152,2026-03-06,ATL,NRT,B757,148,120,Mechanical,N
DL1153,2026-03-22,ATL,NRT,A321,224,0,None,N
DL1154,2026-03-06,ATL,NRT,A220,171,20,Air Traffic Control,N
DL1155,2026-03-25,ATL,NRT,A321,219,0,None,N
DL1156,2026-03-02,ATL,MEX,B757,189,120,Late Inbound Aircraft,N
DL1157,2026-03-12,ATL,MEX,A321,301,0,None,N
DL1158,2026-03-08,ATL,MEX,A321,150,0,None,N
DL1159,2026-03-02,ATL,MEX,B757,155,0,None,N
DL1160,2026-03-07,ATL,MEX,B757,226,0,None,N
DL1161,2026-03-09,ATL,MEX,B757,151,0,None,N
DL1162,2026-03-24,ATL,MEX,A350,292,45,Weather,N
DL1163,2026-03-01,ATL,MEX,B757,238,90,Late Inbound Aircraft,N
DL1164,2026-03-27,ATL,AMS,A350,186,0,None,N
DL1165,2026-03-26,ATL,AMS,B757,223,25,Mechanical,N
DL1166,2026-03-15,ATL,AMS,A220,160,0,None,N
DL1167,2026-03-07,ATL,AMS,A321,148,75,Weather,N
DL1168,2026-03-18,ATL,AMS,B757,158,75,Crew,N
DL1169,2026-03-20,ATL,AMS,B767,254,90,Late Inbound Aircraft,N
DL1170,2026-03-08,ATL,AMS,B767,312,0,None,N
DL1171,2026-03-24,ATL,AMS,B757,171,0,None,N
DL1172,2026-03-10,ATL,AMS,A321,190,45,Mechanical,N
DL1173,2026-03-08,ATL,AMS,B767,288,45,Crew,N
DL1174,2026-03-11,ATL,AMS,A350,199,35,Air Traffic Control,N
DL1175,2026-03-15,ATL,ICN,A321,199,90,Crew,N
DL1176,2026-03-12,ATL,ICN,A220,293,20,Weather,N
DL1177,2026-03-07,ATL,ICN,A321,185,0,None,N
DL1178,2026-03-20,ATL,ICN,A350,141,0,None,N
DL1179,2026-03-21,ATL,ICN,A350,195,0,None,N
DL1180,2026-03-12,ATL,ICN,B767,306,45,Weather,N
DL1181,2026-03-27,ATL,ICN,A321,223,0,Cancelled,Y
DL1182,2026-03-22,ATL,ICN,B767,159,0,None,N
DL1183,2026-03-02,ATL,ICN,A321,156,0,None,N
DL1184,2026-03-04,ATL,ICN,A220,179,0,None,N
DL1185,2026-03-03,ATL,ICN,A321,209,0,None,N
DL1186,2026-03-10,ATL,ICN,B757,153,0,None,N
DL1187,2026-03-24,ATL,ICN,A350,246,0,None,N
DL1188,2026-03-25,JFK,LHR,A321,190,0,None,N
DL1189,2026-03-24,JFK,LHR,B767,251,0,None,N
DL1190,2026-03-14,JFK,LHR,B767,181,60,Air Traffic Control,N
DL1191,2026-03-01,JFK,LHR,B757,299,75,Weather,N
DL1192,2026-03-24,JFK,LHR,A350,183,45,Weather,N
DL1193,2026-03-04,JFK,LHR,B757,190,0,None,N
DL1194,2026-03-05,JFK,LHR,A321,295,90,Air Traffic Control,N
DL1195,2026-03-03,JFK,LHR,B767,181,0,None,N
DL1196,2026-03-20,JFK,LHR,B767,261,0,None,N
DL1197,2026-03-19,JFK,LHR,B767,272,0,None,N
DL1198,2026-03-13,JFK,LHR,A350,283,35,Weather,N
DL1199,2026-03-22,JFK,LHR,B757,300,90,Mechanical,N
DL1200,2026-03-21,JFK,LHR,A321,248,0,None,N
DL1201,2026-03-22,JFK,LHR,A350,185,0,None,N
DL1202,2026-03-20,LAX,ICN,A220,254,0,None,N
DL1203,2026-03-25,LAX,ICN,A321,261,0,None,N
DL1204,2026-03-04,LAX,ICN,A350,233,0,None,N
DL1205,2026-03-26,LAX,ICN,A350,150,0,None,N
DL1206,2026-03-21,LAX,ICN,A220,220,0,None,N
DL1207,2026-03-03,LAX,ICN,B767,236,0,None,N
DL1208,2026-03-01,LAX,ICN,A350,317,0,None,N
DL1209,2026-03-07,LAX,ICN,B767,213,0,None,N
DL1210,2026-03-26,ORD,CDG,B767,204,60,Mechanical,N
DL1211,2026-03-11,ORD,CDG,A321,268,90,Weather,N
DL1212,2026-03-07,ORD,CDG,B757,200,0,None,N
DL1213,2026-03-12,ORD,CDG,B757,211,25,Mechanical,N
DL1214,2026-03-13,ORD,CDG,A220,169,0,None,N
DL1215,2026-03-02,ORD,CDG,A220,255,0,None,N
DL1216,2026-03-17,ORD,CDG,B757,166,0,None,N
DL1217,2026-03-18,ORD,CDG,B757,235,0,None,N
DL1218,2026-03-13,ORD,CDG,B757,232,0,None,N
DL1219,2026-03-25,ORD,CDG,B757,272,15,Weather,N
DL1220,2026-03-10,ORD,CDG,B757,289,0,None,N
DL1221,2026-03-24,ORD,CDG,B767,148,0,Cancelled,Y
DL1222,2026-03-05,ORD,CDG,A220,246,0,None,N
DL1223,2026-03-02,ATL,JFK,A220,140,15,Weather,N
DL1224,2026-03-12,ATL,JFK,B767,276,0,None,N
DL1225,2026-03-14,ATL,JFK,B757,192,0,None,N
DL1226,2026-03-20,ATL,JFK,B767,202,15,Late Inbound Aircraft,N
DL1227,2026-03-15,ATL,JFK,B757,310,0,None,N
DL1228,2026-03-13,ATL,JFK,A220,154,0,None,N
DL1229,2026-03-12,ATL,JFK,A220,294,0,None,N
DL1230,2026-03-24,ATL,JFK,A350,276,15,Weather,N
DL1231,2026-03-13,ATL,JFK,B767,281,20,Weather,N
DL1232,2026-03-05,ATL,JFK,A220,304,0,None,N
DL1233,2026-03-21,ATL,LAX,B757,270,0,None,N
DL1234,2026-03-03,ATL,LAX,A321,141,90,Mechanical,N
DL1235,2026-03-14,ATL,LAX,A321,307,0,None,N
DL1236,2026-03-06,ATL,LAX,B757,171,35,Mechanical,N
DL1237,2026-03-24,ATL,LAX,A350,207,0,None,N
DL1238,2026-03-09,ATL,LAX,A220,315,0,None,N
DL1239,2026-03-09,ATL,LAX,A350,195,0,None,N
DL1240,2026-03-17,ATL,LAX,B767,206,0,Cancelled,Y
DL1241,2026-03-27,ATL,LAX,B767,223,0,None,N
DL1242,2026-03-13,ATL,LAX,A350,275,120,Air Traffic Control,N
DL1243,2026-03-01,ATL,LAX,B757,286,0,None,N
DL1244,2026-03-26,ATL,LAX,A220,159,0,None,N
DL1245,2026-03-06,ATL,LAX,B757,181,20,Mechanical,N
DL1246,2026-03-23,ATL,ORD,B767,150,0,Cancelled,Y
DL1247,2026-03-23,ATL,ORD,A220,156,20,Mechanical,N
DL1248,2026-03-25,ATL,ORD,A350,276,0,None,N
DL1249,2026-03-25,ATL,ORD,B767,167,0,None,N
DL1250,2026-03-07,ATL,ORD,B757,301,20,Crew,N
DL1251,2026-03-16,ATL,ORD,A321,226,35,Weather,N
DL1252,2026-03-09,ATL,ORD,B757,205,0,Cancelled,Y
DL1253,2026-03-02,ATL,ORD,A220,222,0,None,N
DL1254,2026-03-17,ATL,ORD,A321,147,15,Crew,N
DL1255,2026-04-25,ATL,LHR,A220,152,0,None,N
DL1256,2026-04-19,ATL,LHR,A220,163,0,None,N
DL1257,2026-04-27,ATL,LHR,B767,274,0,None,N
DL1258,2026-04-10,ATL,LHR,B757,141,0,None,N
DL1259,2026-04-16,ATL,LHR,A321,187,0,None,N
DL1260,2026-04-19,ATL,LHR,A220,206,0,None,N
DL1261,2026-04-06,ATL,LHR,A350,168,35,Air Traffic Control,N
DL1262,2026-04-16,ATL,LHR,B757,166,0,None,N
DL1263,2026-04-12,ATL,LHR,A321,162,0,None,N
DL1264,2026-04-21,ATL,LHR,B757,192,0,Cancelled,Y
DL1265,2026-04-09,ATL,LHR,A321,183,0,None,N
DL1266,2026-04-21,ATL,LHR,A220,276,0,None,N
DL1267,2026-04-23,ATL,CDG,A220,229,0,None,N
DL1268,2026-04-11,ATL,CDG,A220,255,0,None,N
DL1269,2026-04-24,ATL,CDG,B757,316,0,None,N
DL1270,2026-04-19,ATL,CDG,B767,304,0,None,N
DL1271,2026-04-17,ATL,CDG,B757,203,25,Mechanical,N
DL1272,2026-04-20,ATL,CDG,A350,206,60,Late Inbound Aircraft,N
DL1273,2026-04-06,ATL,CDG,B757,177,75,Weather,N
DL1274,2026-04-24,ATL,CDG,B757,167,20,Mechanical,N
DL1275,2026-04-07,ATL,CDG,A321,143,0,None,N
DL1276,2026-04-26,ATL,CDG,B757,176,45,Air Traffic Control,N
DL1277,2026-04-20,ATL,CDG,A220,250,35,Late Inbound Aircraft,N
DL1278,2026-04-19,ATL,CDG,A220,198,0,None,N
DL1279,2026-04-08,ATL,CDG,A321,256,0,None,N
DL1280,2026-04-11,ATL,CDG,B767,247,0,None,N
DL1281,2026-04-13,ATL,NRT,A321,204,0,None,N
DL1282,2026-04-16,ATL,NRT,A220,244,0,None,N
DL1283,2026-04-22,ATL,NRT,B757,307,0,None,N
DL1284,2026-04-25,ATL,NRT,A350,265,0,Cancelled,Y
DL1285,2026-04-02,ATL,NRT,A220,165,35,Air Traffic Control,N
DL1286,2026-04-15,ATL,NRT,A350,271,0,None,N
DL1287,2026-04-21,ATL,NRT,A321,227,0,None,N
DL1288,2026-04-24,ATL,NRT,A220,171,25,Air Traffic Control,N
DL1289,2026-04-12,ATL,NRT,A350,143,75,Air Traffic Control,N
DL1290,2026-04-14,ATL,NRT,B757,312,0,None,N
DL1291,2026-04-19,ATL,NRT,B767,274,75,Late Inbound Aircraft,N
DL1292,2026-04-26,ATL,NRT,B767,182,0,None,N
DL1293,2026-04-25,ATL,NRT,A321,189,0,None,N
DL1294,2026-04-21,ATL,NRT,A321,303,25,Air Traffic Control,N
DL1295,2026-04-10,ATL,MEX,B757,260,0,None,N
DL1296,2026-04-26,ATL,MEX,B767,249,75,Mechanical,N
DL1297,2026-04-16,ATL,MEX,B757,211,0,Cancelled,Y
DL1298,2026-04-08,ATL,MEX,A321,264,0,None,N
DL1299,2026-04-20,ATL,MEX,B767,232,0,None,N
DL1300,2026-04-10,ATL,MEX,A220,175,60,Crew,N
DL1301,2026-04-27,ATL,MEX,A350,308,0,None,N
DL1302,2026-04-07,ATL,MEX,A220,204,0,None,N
DL1303,2026-04-04,ATL,MEX,A321,187,0,None,N
DL1304,2026-04-12,ATL,MEX,A220,182,75,Crew,N
DL1305,2026-04-23,ATL,MEX,A220,311,0,None,N
DL1306,2026-04-21,ATL,AMS,A350,252,35,Air Traffic Control,N
DL1307,2026-04-18,ATL,AMS,A321,175,0,None,N
DL1308,2026-04-16,ATL,AMS,A321,176,0,None,N
DL1309,2026-04-08,ATL,AMS,B767,141,0,None,N
DL1310,2026-04-27,ATL,AMS,B757,267,0,None,N
DL1311,2026-04-27,ATL,AMS,A350,313,0,None,N
DL1312,2026-04-06,ATL,AMS,A350,147,0,None,N
DL1313,2026-04-20,ATL,AMS,A350,224,0,None,N
DL1314,2026-04-17,ATL,AMS,A350,176,0,None,N
DL1315,2026-04-07,ATL,AMS,A350,226,0,None,N
DL1316,2026-04-22,ATL,AMS,A220,274,0,None,N
DL1317,2026-04-25,ATL,AMS,A350,281,60,Air Traffic Control,N
DL1318,2026-04-27,ATL,AMS,A321,266,0,None,N
DL1319,2026-04-11,ATL,AMS,A321,192,120,Air Traffic Control,N
DL1320,2026-04-04,ATL,ICN,A350,302,45,Weather,N
DL1321,2026-04-26,ATL,ICN,A321,281,0,None,N
DL1322,2026-04-18,ATL,ICN,A350,167,0,None,N
DL1323,2026-04-02,ATL,ICN,A350,295,0,None,N
DL1324,2026-04-26,ATL,ICN,A220,236,0,None,N
DL1325,2026-04-05,ATL,ICN,A350,292,0,None,N
DL1326,2026-04-07,ATL,ICN,B767,300,0,None,N
DL1327,2026-04-04,ATL,ICN,A350,247,0,None,N
DL1328,2026-04-21,ATL,ICN,B757,175,0,Cancelled,Y
DL1329,2026-04-18,ATL,ICN,A321,187,0,None,N
DL1330,2026-04-02,ATL,ICN,A220,304,0,None,N
DL1331,2026-04-02,ATL,ICN,A321,170,0,None,N
DL1332,2026-04-19,ATL,ICN,A350,157,0,None,N
DL1333,2026-04-22,ATL,ICN,B767,308,0,None,N
DL1334,2026-04-25,JFK,LHR,A350,178,90,Weather,N
DL1335,2026-04-14,JFK,LHR,A350,315,0,Cancelled,Y
DL1336,2026-04-03,JFK,LHR,B767,285,90,Weather,N
DL1337,2026-04-15,JFK,LHR,B767,317,15,Air Traffic Control,N
DL1338,2026-04-24,JFK,LHR,B757,257,120,Mechanical,N
DL1339,2026-04-02,JFK,LHR,A220,315,15,Crew,N
DL1340,2026-04-03,JFK,LHR,A220,264,25,Late Inbound Aircraft,N
DL1341,2026-04-02,JFK,LHR,A321,252,0,None,N
DL1342,2026-04-22,JFK,LHR,B757,169,0,None,N
DL1343,2026-04-21,JFK,LHR,A321,262,0,None,N
DL1344,2026-04-25,JFK,LHR,B757,285,0,None,N
DL1345,2026-04-09,LAX,ICN,A220,320,0,None,N
DL1346,2026-04-11,LAX,ICN,B767,143,0,None,N
DL1347,2026-04-20,LAX,ICN,A321,203,0,None,N
DL1348,2026-04-13,LAX,ICN,A321,199,0,None,N
DL1349,2026-04-10,LAX,ICN,A321,208,0,None,N
DL1350,2026-04-06,LAX,ICN,B757,150,0,None,N
DL1351,2026-04-27,LAX,ICN,B767,286,0,None,N
DL1352,2026-04-09,LAX,ICN,A321,280,0,None,N
DL1353,2026-04-12,LAX,ICN,A321,264,0,None,N
DL1354,2026-04-07,LAX,ICN,B757,199,0,None,N
DL1355,2026-04-02,ORD,CDG,B757,192,0,None,N
DL1356,2026-04-19,ORD,CDG,A220,257,0,None,N
DL1357,2026-04-03,ORD,CDG,B767,156,0,None,N
DL1358,2026-04-13,ORD,CDG,B757,273,0,None,N
DL1359,2026-04-16,ORD,CDG,B757,186,35,Weather,N
DL1360,2026-04-12,ORD,CDG,B767,272,0,None,N
DL1361,2026-04-08,ORD,CDG,A350,235,0,None,N
DL1362,2026-04-12,ORD,CDG,B757,179,0,None,N
DL1363,2026-04-20,ORD,CDG,A220,192,15,Weather,N
DL1364,2026-04-16,ORD,CDG,A220,254,45,Air Traffic Control,N
DL1365,2026-04-27,ORD,CDG,A321,186,15,Air Traffic Control,N
DL1366,2026-04-03,ORD,CDG,A220,148,0,Cancelled,Y
DL1367,2026-04-23,ATL,JFK,A220,156,0,None,N
DL1368,2026-04-21,ATL,JFK,B767,284,20,Weather,N
DL1369,2026-04-21,ATL,JFK,A321,269,0,None,N
DL1370,2026-04-06,ATL,JFK,B767,196,35,Late Inbound Aircraft,N
DL1371,2026-04-02,ATL,JFK,A220,155,0,None,N
DL1372,2026-04-01,ATL,JFK,A321,305,120,Mechanical,N
DL1373,2026-04-02,ATL,JFK,B757,313,15,Late Inbound Aircraft,N
DL1374,2026-04-19,ATL,JFK,A321,166,0,None,N
DL1375,2026-04-11,ATL,JFK,A321,235,0,None,N
DL1376,2026-04-13,ATL,JFK,A321,143,25,Late Inbound Aircraft,N
DL1377,2026-04-07,ATL,LAX,B757,298,35,Weather,N
DL1378,2026-04-24,ATL,LAX,A321,164,0,None,N
DL1379,2026-04-27,ATL,LAX,A321,159,0,Cancelled,Y
DL1380,2026-04-11,ATL,LAX,B757,176,20,Mechanical,N
DL1381,2026-04-08,ATL,LAX,A321,177,90,Mechanical,N
DL1382,2026-04-05,ATL,LAX,A350,179,0,None,N
DL1383,2026-04-09,ATL,LAX,B757,167,25,Weather,N
DL1384,2026-04-15,ATL,LAX,B767,311,120,Weather,N
DL1385,2026-04-18,ATL,LAX,A321,233,45,Crew,N
DL1386,2026-04-09,ATL,LAX,A321,164,0,None,N
DL1387,2026-04-10,ATL,LAX,A350,303,45,Weather,N
DL1388,2026-04-15,ATL,LAX,A321,175,0,None,N
DL1389,2026-04-01,ATL,LAX,B767,213,0,None,N
DL1390,2026-04-14,ATL,ORD,A220,210,0,None,N
DL1391,2026-04-06,ATL,ORD,A220,190,35,Mechanical,N
DL1392,2026-04-03,ATL,ORD,B757,266,0,None,N
DL1393,2026-04-06,ATL,ORD,B767,300,0,None,N
DL1394,2026-04-19,ATL,ORD,A220,154,120,Air Traffic Control,N
DL1395,2026-04-26,ATL,ORD,A321,244,90,Weather,N
DL1396,2026-04-05,ATL,ORD,A350,233,25,Mechanical,N
DL1397,2026-04-06,ATL,ORD,B757,141,0,None,N
DL1398,2026-04-17,ATL,ORD,A350,158,0,None,N
DL1399,2026-04-12,ATL,ORD,A321,222,0,None,N
DL1400,2026-05-25,ATL,LHR,A321,266,20,Late Inbound Aircraft,N
DL1401,2026-05-17,ATL,LHR,B767,277,0,Cancelled,Y
DL1402,2026-05-01,ATL,LHR,B757,219,25,Weather,N
DL1403,2026-05-18,ATL,LHR,B757,189,20,Late Inbound Aircraft,N
DL1404,2026-05-01,ATL,LHR,A220,258,0,None,N
DL1405,2026-05-08,ATL,LHR,B757,151,20,Mechanical,N
DL1406,2026-05-04,ATL,LHR,A350,211,0,None,N
DL1407,2026-05-04,ATL,LHR,A220,278,0,None,N
DL1408,2026-05-08,ATL,LHR,A350,182,90,Mechanical,N
DL1409,2026-05-21,ATL,LHR,A220,294,0,None,N
DL1410,2026-05-02,ATL,LHR,B757,232,0,None,N
DL1411,2026-05-13,ATL,LHR,A220,251,0,None,N
DL1412,2026-05-11,ATL,CDG,B757,153,0,None,N
DL1413,2026-05-17,ATL,CDG,B767,230,0,None,N
DL1414,2026-05-14,ATL,CDG,B757,157,20,Air Traffic Control,N
DL1415,2026-05-14,ATL,CDG,B767,197,0,None,N
DL1416,2026-05-14,ATL,CDG,A350,256,0,None,N
DL1417,2026-05-26,ATL,CDG,A350,150,0,None,N
DL1418,2026-05-21,ATL,CDG,B757,299,0,None,N
DL1419,2026-05-21,ATL,CDG,A350,299,0,None,N
DL1420,2026-05-09,ATL,CDG,A350,213,35,Late Inbound Aircraft,N
DL1421,2026-05-10,ATL,CDG,B757,271,15,Mechanical,N
DL1422,2026-05-03,ATL,CDG,A321,177,0,None,N
